"","Name","open","date"
"12762","ADP",72.36,"2013-10-14"
"12763","ADP",72.54,"2013-10-15"
"12764","ADP",72.95,"2013-10-16"
"12765","ADP",73.41,"2013-10-17"
"12766","ADP",74.15,"2013-10-18"
"12767","ADP",73.99,"2013-10-21"
"12768","ADP",74.92,"2013-10-22"
"12769","ADP",75.24,"2013-10-23"
"12770","ADP",75.3,"2013-10-24"
"12771","ADP",75.31,"2013-10-25"
"12772","ADP",75.32,"2013-10-28"
"12773","ADP",76.04,"2013-10-29"
"12774","ADP",75.91,"2013-10-30"
"12775","ADP",74.26,"2013-10-31"
"12776","ADP",75.35,"2013-11-01"
"12777","ADP",75.72,"2013-11-04"
"12778","ADP",75.25,"2013-11-05"
"12779","ADP",75.34,"2013-11-06"
"12780","ADP",76.15,"2013-11-07"
"12781","ADP",75.44,"2013-11-08"
"12782","ADP",75.83,"2013-11-11"
"12783","ADP",75.69,"2013-11-12"
"12784","ADP",75.65,"2013-11-13"
"12785","ADP",76.64,"2013-11-14"
"12786","ADP",76.87,"2013-11-15"
"12787","ADP",77.36,"2013-11-18"
"12788","ADP",78.8,"2013-11-19"
"12789","ADP",79.91,"2013-11-20"
"12790","ADP",79.32,"2013-11-21"
"12791","ADP",79.65,"2013-11-22"
"12792","ADP",80,"2013-11-25"
"12793","ADP",83.18,"2013-11-26"
"12794","ADP",80.3,"2013-11-27"
"12795","ADP",80.18,"2013-11-29"
"12796","ADP",79.95,"2013-12-02"
"12797","ADP",80.35,"2013-12-03"
"12798","ADP",79.89,"2013-12-04"
"12799","ADP",78.95,"2013-12-05"
"12800","ADP",79.45,"2013-12-06"
"12801","ADP",79.7,"2013-12-09"
"12802","ADP",78.86,"2013-12-10"
"12803","ADP",78.3,"2013-12-11"
"12804","ADP",77.21,"2013-12-12"
"12805","ADP",77.66,"2013-12-13"
"12806","ADP",77.53,"2013-12-16"
"12807","ADP",76.8,"2013-12-17"
"12808","ADP",77.72,"2013-12-18"
"12809","ADP",79.35,"2013-12-19"
"12810","ADP",79.42,"2013-12-20"
"12811","ADP",80.31,"2013-12-23"
"12812","ADP",79.78,"2013-12-24"
"12813","ADP",80.45,"2013-12-26"
"12814","ADP",80.96,"2013-12-27"
"12815","ADP",80.82,"2013-12-30"
"12816","ADP",81.24,"2013-12-31"
"12817","ADP",80.17,"2014-01-02"
"12818","ADP",80.21,"2014-01-03"
"12819","ADP",80.61,"2014-01-06"
"12820","ADP",79.98,"2014-01-07"
"12821","ADP",80.3,"2014-01-08"
"12822","ADP",83,"2014-01-09"
"12823","ADP",81.06,"2014-01-10"
"12824","ADP",80.28,"2014-01-13"
"12825","ADP",79.31,"2014-01-14"
"12826","ADP",80,"2014-01-15"
"12827","ADP",80.04,"2014-01-16"
"12828","ADP",79.52,"2014-01-17"
"12829","ADP",80.42,"2014-01-21"
"12830","ADP",80.41,"2014-01-22"
"12831","ADP",81.93,"2014-01-23"
"12832","ADP",78.81,"2014-01-24"
"12833","ADP",76.35,"2014-01-27"
"12834","ADP",76.38,"2014-01-28"
"12835","ADP",76.44,"2014-01-29"
"12836","ADP",76.95,"2014-01-30"
"12837","ADP",76,"2014-01-31"
"12838","ADP",76.61,"2014-02-03"
"12839","ADP",77.92,"2014-02-04"
"12840","ADP",76.32,"2014-02-05"
"12841","ADP",73.45,"2014-02-06"
"12842","ADP",74.4,"2014-02-07"
"12843","ADP",75.48,"2014-02-10"
"12844","ADP",74.12,"2014-02-11"
"12845","ADP",75.57,"2014-02-12"
"12846","ADP",75.25,"2014-02-13"
"12847","ADP",75.75,"2014-02-14"
"12848","ADP",76.45,"2014-02-18"
"12849","ADP",76.04,"2014-02-19"
"12850","ADP",76.24,"2014-02-20"
"12851","ADP",76.78,"2014-02-21"
"12852","ADP",76.31,"2014-02-24"
"12853","ADP",76.98,"2014-02-25"
"12854","ADP",77.45,"2014-02-26"
"12855","ADP",77.12,"2014-02-27"
"12856","ADP",77.88,"2014-02-28"
"12857","ADP",77.05,"2014-03-03"
"12858","ADP",77.7,"2014-03-04"
"12859","ADP",78,"2014-03-05"
"12860","ADP",77.88,"2014-03-06"
"12861","ADP",78.45,"2014-03-07"
"12862","ADP",78.59,"2014-03-10"
"12863","ADP",78.34,"2014-03-11"
"12864","ADP",77.27,"2014-03-12"
"12865","ADP",77.78,"2014-03-13"
"12866","ADP",77.54,"2014-03-14"
"12867","ADP",77.92,"2014-03-17"
"12868","ADP",78.37,"2014-03-18"
"12869","ADP",79.08,"2014-03-19"
"12870","ADP",77.85,"2014-03-20"
"12871","ADP",79.33,"2014-03-21"
"12872","ADP",77.86,"2014-03-24"
"12873","ADP",76.69,"2014-03-25"
"12874","ADP",77.1,"2014-03-26"
"12875","ADP",76.05,"2014-03-27"
"12876","ADP",77.01,"2014-03-28"
"12877","ADP",77.14,"2014-03-31"
"12878","ADP",77.05,"2014-04-01"
"12879","ADP",77.41,"2014-04-02"
"12880","ADP",77.98,"2014-04-03"
"12881","ADP",77.77,"2014-04-04"
"12882","ADP",75.97,"2014-04-07"
"12883","ADP",75.46,"2014-04-08"
"12884","ADP",75.47,"2014-04-09"
"12885","ADP",78.08,"2014-04-10"
"12886","ADP",74.67,"2014-04-11"
"12887","ADP",74.41,"2014-04-14"
"12888","ADP",74.3,"2014-04-15"
"12889","ADP",75.7,"2014-04-16"
"12890","ADP",75.24,"2014-04-17"
"12891","ADP",75.77,"2014-04-21"
"12892","ADP",76.13,"2014-04-22"
"12893","ADP",75.86,"2014-04-23"
"12894","ADP",76.84,"2014-04-24"
"12895","ADP",76.24,"2014-04-25"
"12896","ADP",76.04,"2014-04-28"
"12897","ADP",76.16,"2014-04-29"
"12898","ADP",76.05,"2014-04-30"
"12899","ADP",77.97,"2014-05-01"
"12900","ADP",77.7,"2014-05-02"
"12901","ADP",77.28,"2014-05-05"
"12902","ADP",77.44,"2014-05-06"
"12903","ADP",77.25,"2014-05-07"
"12904","ADP",77.32,"2014-05-08"
"12905","ADP",77.62,"2014-05-09"
"12906","ADP",77.99,"2014-05-12"
