ADP,ALL
"[0.0009151290869340301, 0.0020512789487838745, 0.007646365091204643, 0.009943562559783459]","[0.0005345425801351666, 0.0011267747031524777, 0.00688199745491147, 0.012134963087737562]"
"[-0.011664309538900852, -0.006498901988379657, -0.0014024369011167437, -0.0005085893208160996]","[-0.00826443312689662, -0.005286258412525058, -0.0011994149535894394, -0.0005032815097365524]"
