,0,1
322,ADP,TEL
323,GT,MDLZ
324,GPC,INTC
325,BDX,SPGI
326,NDAQ,TRV
327,CCI,CDNS
328,PAYX,VRSK
329,AIG,HOLX
330,EW,TDG
331,AMGN,COST
332,MAS,VRSK
333,JBHT,ZTS
334,KO,SO
335,FBHS,VRSK
336,AOS,VRSK
337,ADP,BSX
338,LH,SNPS
339,D,LNT
340,MON,PCAR
341,ETR,WY
342,BLL,CL
343,CTXS,DLR
344,DUK,WY
345,HCP,LKQ
346,CL,PEG
347,LH,V
348,PEP,WM
349,JNJ,UPS
350,MMM,SPGI
351,LH,RMD
352,VRSK,ZTS
353,HCP,IT
354,CCI,PKI
355,HON,MSFT
356,D,XEL
357,ADBE,JPM
358,APH,LH
359,BBT,KEY
360,ADP,XLNX
361,PFE,UNM
362,CA,MAS
363,CRM,TSS
364,COG,GPS
365,CCI,ZTS
366,PFE,SCHW
367,DRE,XEL
368,EOG,MU
369,AET,MHK
370,COST,MNST
371,EMN,FLIR
372,BSX,VRSK
373,MSI,XYL
374,AIG,OXY
375,CA,RF
376,NEE,TXN
377,ADP,RSG
378,ADP,XYL
379,ADP,MSFT
380,CA,ZTS
381,CB,MMC
382,COG,MRO
383,ETN,MON
384,JNJ,MMC
385,ITW,SYK
386,HSY,ZION
387,FIS,LH
388,MON,PWR
389,AAPL,SBAC
390,CCI,PEG
391,DUK,IRM
392,ATVI,CCI
393,AOS,TRV
394,ALL,RMD
395,PCAR,UTX
396,CL,EXC
397,ESS,EXPE
